Order_ID,Customer_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Payment_Method,Marketing_Channel,Gross_Amount,Discount,Revenue,Cost,Profit,Payment_Status,Lost_Revenue_Payment,Delivery_Days,Order_Status,Lost_Revenue_Return,Last_Purchase_Days,Customer_Rating,Customer_Segment,Discount_Leak,Potential_Revenue_Leak
ORD00001,CUST07271,2025-01-01 00:00:00,Headphones,Fashion,North,4,48156,UPI,Direct,192624,10,173361.6,105193.9603834656,68167.6396165344,Success,0.0,5,Completed,0.0,28,2.9,High Value,0.0,0.0
ORD00002,CUST00861,2025-01-01 00:30:00,Shoes,Electronics,North,2,20187,Debit Card,Email,40374,0,40374.0,25829.2340964255,14544.765903574498,Success,0.0,6,Completed,0.0,37,4.3,High Value,0.0,0.0
ORD00003,CUST05391,2025-01-01 01:00:00,Shoes,Electronics,North,4,26745,Credit Card,Instagram,106980,30,74886.0,47004.21225274359,27881.787747256407,Success,0.0,6,Completed,0.0,85,1.5,High Value,0.0,0.0
ORD00004,CUST05192,2025-01-01 01:30:00,Smartphone,Electronics,South,4,19574,UPI,Instagram,78296,5,74381.2,54826.821804103696,19554.3781958963,Success,0.0,1,Completed,0.0,37,4.0,High Value,0.0,0.0
ORD00005,CUST05735,2025-01-01 02:00:00,Headphones,Electronics,East,1,17796,Debit Card,Email,17796,5,16906.2,9734.07199474106,7172.128005258941,Success,0.0,5,Completed,0.0,127,1.4,At Risk,0.0,0.0
ORD00006,CUST06266,2025-01-01 02:30:00,TV,Accessories,South,4,10570,Net Banking,Google,42280,5,40166.0,24950.149603555525,15215.850396444475,Success,0.0,3,Completed,0.0,6,3.1,High Value,0.0,0.0
ORD00007,CUST00467,2025-01-01 03:00:00,Furniture,Fashion,West,4,31902,Credit Card,Google,127608,15,108466.8,81124.01167056618,27342.788329433824,Failed,108466.8,14,Completed,0.0,112,2.6,High Value At Risk,0.0,108466.8
ORD00008,CUST04427,2025-01-01 03:30:00,Smartphone,Home,South,2,34113,UPI,Google,68226,30,47758.2,28902.078571847534,18856.121428152463,Success,0.0,2,Completed,0.0,133,3.4,High Value At Risk,0.0,0.0
ORD00009,CUST05579,2025-01-01 04:00:00,TV,Home,West,3,36491,Debit Card,Instagram,109473,0,109473.0,65134.713458146005,44338.286541853995,Success,0.0,3,Completed,0.0,41,3.3,High Value,0.0,0.0
ORD00010,CUST08323,2025-01-01 04:30:00,Furniture,Fashion,East,1,30118,Credit Card,Instagram,30118,10,27106.2,22814.849792536053,4291.350207463947,Failed,27106.2,8,Completed,0.0,30,2.7,Regular,0.0,27106.2
ORD00011,CUST01686,2025-01-01 05:00:00,Laptop,Accessories,West,3,41783,UPI,Google,125349,20,100279.20000000001,84204.12575964101,16075.074240358997,Success,0.0,12,Cancelled,0.0,153,2.0,High Value At Risk,0.0,0.0
ORD00012,CUST00770,2025-01-01 05:30:00,Headphones,Home,South,2,3818,Debit Card,Instagram,7636,0,7636.0,6175.7844668528805,1460.2155331471195,Success,0.0,3,Completed,0.0,135,4.9,At Risk,0.0,0.0
ORD00013,CUST06950,2025-01-01 06:00:00,Smartphone,Fashion,North,4,9876,Credit Card,Google,39504,25,29628.0,16610.109696361196,13017.890303638804,Success,0.0,4,Returned,29628.0,93,4.5,At Risk,0.0,29628.0
ORD00014,CUST02434,2025-01-01 06:30:00,Watch,Electronics,West,3,43297,Debit Card,Instagram,129891,15,110407.34999999999,90190.98981705825,20216.360182941746,Success,0.0,4,Completed,0.0,20,1.0,High Value,0.0,0.0
ORD00015,CUST05312,2025-01-01 07:00:00,Furniture,Accessories,West,4,23451,Credit Card,Instagram,93804,25,70353.0,53606.58797716509,16746.412022834913,Success,0.0,7,Returned,70353.0,168,1.5,High Value At Risk,0.0,70353.0
ORD00016,CUST05052,2025-01-01 07:30:00,Smartphone,Fashion,West,4,9133,Credit Card,Email,36532,10,32878.8,22277.43017330361,10601.369826696391,Success,0.0,2,Returned,32878.8,90,1.9,High Value,0.0,32878.8
ORD00017,CUST06421,2025-01-01 08:00:00,Laptop,Home,West,4,32134,Net Banking,Direct,128536,15,109255.59999999999,64611.67405720766,44643.92594279233,Success,0.0,14,Completed,0.0,14,1.4,High Value,0.0,0.0
ORD00018,CUST01185,2025-01-01 08:30:00,Laptop,Home,South,1,13947,Credit Card,Direct,13947,5,13249.65,7541.512685263378,5708.137314736621,Success,0.0,14,Completed,0.0,99,1.6,At Risk,0.0,0.0
ORD00019,CUST04556,2025-01-01 09:00:00,Laptop,Accessories,East,3,19326,Debit Card,Google,57978,10,52180.200000000004,38073.94028781018,14106.259712189822,Success,0.0,13,Completed,0.0,23,1.4,High Value,0.0,0.0
ORD00020,CUST03386,2025-01-01 09:30:00,Furniture,Home,North,2,41736,UPI,Email,83472,25,62604.0,34682.64585868042,27921.354141319578,Success,0.0,6,Completed,0.0,46,4.9,High Value,0.0,0.0
ORD00021,CUST06397,2025-01-01 10:00:00,Smartphone,Fashion,West,2,27001,Credit Card,Google,54002,30,37801.399999999994,21937.663686435753,15863.73631356424,Success,0.0,1,Completed,0.0,147,3.4,High Value At Risk,0.0,0.0
